example_id,subset,pair_type,source_text,target_text,alternate_text,direct_distance,off_manifold_mean,geodesic_length,detour_ratio,dual_path_length,dual_detour_ratio,switch_count,midpoint_label,path_nearest_nodes
233,swap_object,congruent,A sidewalk next to the outdoor sitting area of a restaurant.,the restaurant's outdoor seating area is adjacent to the sidewalk.,An outdoor sitting area next to the sidewalk of a restaurant.,0.6382919549942017,0.17730331681486985,0.6382919549942017,1.0,0.7788976565715617,1.1338162821674944,1,source,"[304, 304, 304, 304, 304, 304, 669, 669, 669, 669, 669]"
233,swap_object,incongruent,A sidewalk next to the outdoor sitting area of a restaurant.,An outdoor sitting area next to the sidewalk of a restaurant.,the restaurant's outdoor seating area is adjacent to the sidewalk.,0.41263654828071594,0.11462126692742844,0.41263654828071594,1.0,0.41461423914917034,1.0311732269672562,1,source,"[304, 304, 304, 304, 304, 304, 424, 424, 424, 424, 424]"
190,swap_object,congruent,A pole with multiple street signs in front of a tall building.,A tall building is behind a pole containing multiple street signs.,A tall building with multiple street signs in front of a pole.,0.5384250283241272,0.14956250250747813,0.5384250283241272,1.0,0.5937747773671366,1.0849028515210457,1,target,"[292, 292, 292, 292, 292, 292, 342, 342, 342, 342, 342]"
190,swap_object,incongruent,A pole with multiple street signs in front of a tall building.,A tall building with multiple street signs in front of a pole.,A tall building is behind a pole containing multiple street signs.,0.44884514808654785,0.12467921374035416,0.44884514808654785,1.0,0.4637440320572977,1.0419083536575964,1,target,"[292, 292, 292, 292, 292, 292, 343, 343, 343, 343, 343]"
170,swap_object,congruent,A truck loaded with cargo slowly creeps down the street.,The truck that is loaded with cargo moves down the street.,Cargo loaded with a truck slowly creeps down the street.,0.6164160966873169,0.17122669428676326,0.6164160966873169,1.0,0.7663127439738903,1.117162999798444,1,source,"[359, 359, 359, 359, 359, 359, 573, 573, 573, 573, 573]"
170,swap_object,incongruent,A truck loaded with cargo slowly creeps down the street.,Cargo loaded with a truck slowly creeps down the street.,The truck that is loaded with cargo moves down the street.,0.3772067427635193,0.10477965084424007,0.3772067427635193,1.0,0.35818092098075555,1.0220263567591996,1,source,"[359, 359, 359, 359, 359, 359, 435, 435, 435, 435, 435]"
112,swap_object,congruent,A green park bench underneath a tree in a park.,The green park bench is positioned in the park underneath the tree,A tree underneath a green park bench in a park.,0.5352671146392822,0.14868530127764712,0.5352671146392822,1.0,0.6125355029057602,1.0765828211706654,1,target,"[105, 105, 105, 105, 105, 105, 527, 527, 527, 527, 527]"
112,swap_object,incongruent,A green park bench underneath a tree in a park.,A tree underneath a green park bench in a park.,The green park bench is positioned in the park underneath the tree,0.40915560722351074,0.11365433852882978,0.40915560722351074,1.0,0.40041600698379504,1.0299687088016214,1,target,"[105, 105, 105, 105, 105, 105, 355, 355, 355, 355, 355]"
162,swap_object,congruent,A plate on a wooden table full of bread.,A wooden table has a plate full of bread on it.,A wooden table with bread on it next to a plate.,0.39114293456077576,0.10865081053581666,0.39114293456077576,1.0,0.3772873803004642,1.025139909493715,1,source,"[287, 287, 287, 287, 287, 287, 385, 385, 385, 385, 385]"
162,swap_object,incongruent,A plate on a wooden table full of bread.,A wooden table with bread on it next to a plate.,A wooden table has a plate full of bread on it.,0.6263270378112793,0.17397973302447223,0.6263270378112793,1.0,0.742070884557696,1.1346518111000408,1,target,"[287, 287, 287, 287, 287, 287, 386, 386, 386, 386, 386]"
