example_id,subset,pair_type,source_text,target_text,alternate_text,retrieval_t0,retrieval_t02,retrieval_t05,retrieval_t08,retrieval_t10,off_manifold_mean,detour_ratio,dual_detour_ratio
233,swap_object,congruent,A sidewalk next to the outdoor sitting area of a restaurant.,the restaurant's outdoor seating area is adjacent to the sidewalk.,An outdoor sitting area next to the sidewalk of a restaurant.,A sidewalk next to the outdoor sitting area of a restaurant.,A sidewalk next to the outdoor sitting area of a restaurant.,A sidewalk next to the outdoor sitting area of a restaurant.,the restaurant's outdoor seating area is adjacent to the sidewalk.,the restaurant's outdoor seating area is adjacent to the sidewalk.,0.17730331681486985,1.0,1.1338162821674944
233,swap_object,incongruent,A sidewalk next to the outdoor sitting area of a restaurant.,An outdoor sitting area next to the sidewalk of a restaurant.,the restaurant's outdoor seating area is adjacent to the sidewalk.,A sidewalk next to the outdoor sitting area of a restaurant.,A sidewalk next to the outdoor sitting area of a restaurant.,A sidewalk next to the outdoor sitting area of a restaurant.,An outdoor sitting area next to the sidewalk of a restaurant.,An outdoor sitting area next to the sidewalk of a restaurant.,0.11462126692742844,1.0,1.0311732269672562
190,swap_object,congruent,A pole with multiple street signs in front of a tall building.,A tall building is behind a pole containing multiple street signs.,A tall building with multiple street signs in front of a pole.,A pole with multiple street signs in front of a tall building.,A pole with multiple street signs in front of a tall building.,A pole with multiple street signs in front of a tall building.,A tall building is behind a pole containing multiple street signs.,A tall building is behind a pole containing multiple street signs.,0.14956250250747813,1.0,1.0849028515210457
190,swap_object,incongruent,A pole with multiple street signs in front of a tall building.,A tall building with multiple street signs in front of a pole.,A tall building is behind a pole containing multiple street signs.,A pole with multiple street signs in front of a tall building.,A pole with multiple street signs in front of a tall building.,A pole with multiple street signs in front of a tall building.,A tall building with multiple street signs in front of a pole.,A tall building with multiple street signs in front of a pole.,0.12467921374035416,1.0,1.0419083536575964
170,swap_object,congruent,A truck loaded with cargo slowly creeps down the street.,The truck that is loaded with cargo moves down the street.,Cargo loaded with a truck slowly creeps down the street.,A truck loaded with cargo slowly creeps down the street.,A truck loaded with cargo slowly creeps down the street.,A truck loaded with cargo slowly creeps down the street.,The truck that is loaded with cargo moves down the street.,The truck that is loaded with cargo moves down the street.,0.17122669428676326,1.0,1.117162999798444
170,swap_object,incongruent,A truck loaded with cargo slowly creeps down the street.,Cargo loaded with a truck slowly creeps down the street.,The truck that is loaded with cargo moves down the street.,A truck loaded with cargo slowly creeps down the street.,A truck loaded with cargo slowly creeps down the street.,A truck loaded with cargo slowly creeps down the street.,Cargo loaded with a truck slowly creeps down the street.,Cargo loaded with a truck slowly creeps down the street.,0.10477965084424007,1.0,1.0220263567591996
112,swap_object,congruent,A green park bench underneath a tree in a park.,The green park bench is positioned in the park underneath the tree,A tree underneath a green park bench in a park.,A green park bench underneath a tree in a park.,A green park bench underneath a tree in a park.,A green park bench underneath a tree in a park.,The green park bench is positioned in the park underneath the tree,The green park bench is positioned in the park underneath the tree,0.14868530127764712,1.0,1.0765828211706654
112,swap_object,incongruent,A green park bench underneath a tree in a park.,A tree underneath a green park bench in a park.,The green park bench is positioned in the park underneath the tree,A green park bench underneath a tree in a park.,A green park bench underneath a tree in a park.,A green park bench underneath a tree in a park.,A tree underneath a green park bench in a park.,A tree underneath a green park bench in a park.,0.11365433852882978,1.0,1.0299687088016214
162,swap_object,congruent,A plate on a wooden table full of bread.,A wooden table has a plate full of bread on it.,A wooden table with bread on it next to a plate.,A plate on a wooden table full of bread.,A plate on a wooden table full of bread.,A plate on a wooden table full of bread.,A wooden table has a plate full of bread on it.,A wooden table has a plate full of bread on it.,0.10865081053581666,1.0,1.025139909493715
162,swap_object,incongruent,A plate on a wooden table full of bread.,A wooden table with bread on it next to a plate.,A wooden table has a plate full of bread on it.,A plate on a wooden table full of bread.,A plate on a wooden table full of bread.,A plate on a wooden table full of bread.,A wooden table with bread on it next to a plate.,A wooden table with bread on it next to a plate.,0.17397973302447223,1.0,1.1346518111000408
